1	1.025
1	1.194
1	1.586
1	2.837
1	5.588
1	12.052
1	22.354
1	39.062
1	59.883
1	87.459
1	118.813
1	152.884
1	191.359
1	230.133
1	269.466
1	311.092
1	350.618
1	390.85
1	432.188
1	471.669
1	512.019
1	553.38
29	595.197
34	636.046
36	676.244
48	717.224
99	757.416
102	798.216
181	839.473
184	881.09
209	919.091
216	958.628
258	1001.748
259	1045.07
272	1089.101
340	1132.108
347	1174.292
367	1217.162
382	1257.146
455	1297.933
476	1338.906
547	1380.966
549	1422.23
556	1467.457
587	1510.378
616	1552.415
641	1595.865
656	1637.073
671	1678.9
673	1721.792
678	1764.292
680	1806.247
733	1847.146
758	1890.497
