Insertions	Controls
1	6.315
1	38.074
1	143.865
1	325.14
1	657.276
1	1135.921
1	1748.125
1	2435.717
1	3168.395
1	4002.473
1	4847.669
1	5722.477
1	6600.925
1	7487.698
1	8325.188
1185	9142.812
1732	10002.763
1917	10865.899
2001	11736.664
2525	12637.15
2662	13502.964
3383	14361.777
3630	15231.955
4223	16076.053
4751	16952.493
5368	17815.534
7388	18679.622
8994	19555.02
9412	20430.085
9588	21354.359
